run,candidate,sample,changing_total_ms,changing_build_ms,complete_total_ms,clamp_ms,show_ms,corners_ms,border_ms
2,1,83,1.1283000000000001,1.0494000000000001,4.750200,0.064700,4.408700,0.018100,0.258700
2,1,84,1.0851999999999999,1.0118,4.741200,0.077600,4.480000,0.018600,0.165000
2,1,85,1.2962,1.2253000000000001,1.679700,0.073700,1.441600,0.017500,0.146900
2,1,86,1.335,1.2459,4.089300,0.068500,3.863000,0.016900,0.140900
2,1,87,1.6935,1.1237999999999999,1.226800,0.059300,0.980800,0.023900,0.162800
2,1,88,1.4248000000000001,1.0149999999999999,1.419700,0.069200,1.126300,0.019500,0.204700
2,1,89,1.0129999999999999,0.86370000000000002,1.638000,0.180300,1.290900,0.020600,0.146200
2,1,90,0.79090000000000005,0.73250000000000004,2.124000,0.070800,1.893700,0.017200,0.142300
2,1,91,0.65239999999999998,0.58330000000000004,2.580600,0.072100,1.736400,0.016900,0.755200
2,1,92,4.0201000000000002,3.9380000000000002,1.962900,0.100400,1.548200,0.070300,0.244000
2,1,93,1.0016,0.91190000000000004,1.316500,0.066000,1.081200,0.024700,0.144600
2,1,94,0.75209999999999999,0.6825,1.328500,0.064400,1.093400,0.024400,0.146300
2,1,95,0.64339999999999997,0.58450000000000002,1.133500,0.061700,0.909400,0.023300,0.139100
2,1,96,3.0638999999999998,2.9504999999999999,3.687800,0.069100,3.466700,0.016700,0.135300
2,1,97,1.9188000000000001,1.8402000000000001,2.820000,0.089200,2.523200,0.019100,0.188500
2,1,98,0.96009999999999995,0.87970000000000004,2.196000,0.069500,1.951400,0.019400,0.155700
2,1,99,2.9302000000000001,2.8359999999999999,1.741700,0.072800,1.462900,0.019400,0.186600
2,1,100,0.92059999999999997,0.84340000000000004,1.256800,0.065400,1.034900,0.017600,0.138900
3,1,1,1.8365,1.7499,7.053200,0.098100,1.639100,0.022100,5.293900
3,1,2,1.4395,1.2074,1.193000,0.064100,0.962700,0.016700,0.149500
3,1,3,1.2490000000000001,1.1524000000000001,2.699100,1.169700,1.356200,0.018600,0.154600
3,1,4,0.91339999999999999,0.85399999999999998,1.681800,0.078400,1.400800,0.031400,0.171200
3,1,5,0.71060000000000001,0.65100000000000002,2.505600,0.072600,1.871800,0.044200,0.517000
3,1,6,1.0225,0.95499999999999996,2.684200,0.071600,2.454800,0.017000,0.140800
