run,sample,total_ms,clamp_ms,show_ms,corners_ms,border_ms,prepare_ms,move_ms,outer_show_ms
isolated,61,1.1766,0.0627,0.8835,0.0142,0.2162,0.0121,0.8472,0.0242
isolated,62,4.1711,0.1737,3.7492,0.0155,0.2327,0.0112,3.7102,0.0278
isolated,63,0.9239,0.0609,0.7179,0.0093,0.1358,0.0115,0.689,0.0174
isolated,64,3.0337,0.0945,1.3133,0.0153,1.6106,0.0164,1.2612,0.0357
isolated,65,3.9783,0.0884,1.7018,0.0136,2.1745,0.0159,1.6588,0.0271
isolated,66,2.2868,1.249,0.8393,0.0114,0.1871,0.0131,0.8036,0.0226
isolated,67,3.7673,0.0646,3.4249,0.0165,0.2613,0.0107,3.3889,0.0253
isolated,68,2.0053,0.1484,1.6598,0.0126,0.1845,0.016,1.616,0.0278
isolated,69,2.028,0.0572,1.6944,0.0135,0.2629,0.0084,1.6644,0.0216
isolated,70,2.2964,0.4845,1.4837,0.0148,0.3134,0.0146,1.4395,0.0296
isolated,71,1.3766,0.0728,1.108,0.0142,0.1816,0.0127,1.0635,0.0318
isolated,72,2.4796,0.0827,2.1513,0.0151,0.2305,0.0142,2.107,0.0301
isolated,73,1.3342,0.069,1.0604,0.0126,0.1922,0.0111,1.0266,0.0227
isolated,74,1.1319,0.0529,0.9058,0.0122,0.161,0.0109,0.8735,0.0214
isolated,75,1.0446,0.0555,0.8105,0.0199,0.1587,0.0115,0.7756,0.0234
isolated,76,1.2736,0.063,1.0206,0.0138,0.1762,0.0116,0.9874,0.0216
isolated,77,2.5225,0.3051,1.918,0.0138,0.2856,0.0143,1.8769,0.0268
isolated,78,2.284,0.0694,1.1573,0.0183,1.039,0.0142,1.0006,0.1425
isolated,79,3.6315,0.0673,1.6612,0.0162,1.8868,0.0113,1.622,0.0279
isolated,80,1.138,0.0474,0.9004,0.0113,0.1789,0.0119,0.8678,0.0207
isolated,81,3.351,0.0633,2.9831,0.017,0.2876,0.0123,2.9421,0.0287
isolated,82,3.4462,0.0649,3.115,0.0169,0.2494,0.0112,3.0768,0.027
isolated,83,3.9914,0.0617,3.6838,0.0129,0.233,0.0094,3.6504,0.024
isolated,84,1.6411,0.0599,1.1986,0.016,0.3666,0.0102,1.164,0.0244
isolated,85,2.1929,0.0649,1.8073,0.0164,0.3043,0.0292,1.7459,0.0322
isolated,86,1.7558,0.0634,1.4192,0.0174,0.2558,0.0118,1.3734,0.034
isolated,87,2.2083,0.0814,1.8626,0.014,0.2503,0.0117,1.8257,0.0252
isolated,88,1.7966,0.0874,1.299,0.0143,0.3959,0.0148,1.2405,0.0437
isolated,89,1.3855,0.0725,1.0994,0.013,0.2006,0.013,1.062,0.0244
isolated,90,1.5098,0.075,1.2128,0.0177,0.2043,0.013,1.1726,0.0272
isolated,91,1.4057,0.0707,1.1258,0.0137,0.1955,0.015,1.0873,0.0235
isolated,92,2.6538,0.3068,1.9394,0.0169,0.3907,0.0154,1.8927,0.0313
isolated,93,2.1288,0.2314,1.1724,0.0155,0.7095,0.0131,1.1328,0.0265
isolated,94,1.2406,0.069,0.9766,0.0122,0.1828,0.0112,0.9356,0.0298
isolated,95,2.6696,0.2923,1.9698,0.0153,0.3922,0.0155,1.9173,0.037
isolated,96,2.0436,0.0597,1.7433,0.0144,0.2262,0.0113,1.7061,0.0259
isolated,97,2.0824,0.0689,1.7887,0.0149,0.2099,0.0121,1.7498,0.0268
isolated,98,1.9397,0.0798,1.3862,0.0169,0.4568,0.0134,1.3445,0.0283
isolated,99,1.2805,0.0659,0.8081,0.0116,0.3949,0.0119,0.7765,0.0197
isolated,100,1.9925,0.0755,1.7059,0.0141,0.197,0.0135,1.0371,0.6553
prefix,1,6.2904,0.3587,1.087,0.0127,4.832,0.0127,1.0517,0.0226
prefix,2,1.1541,0.0513,0.9251,0.0139,0.1638,0.0093,0.8908,0.025
prefix,3,1.8957,0.0606,1.5507,0.0139,0.2705,0.0122,1.5137,0.0248
prefix,4,1.0983,0.0615,0.8503,0.0105,0.176,0.011,0.8212,0.0181
prefix,5,0.8847,0.0481,0.6961,0.0088,0.1317,0.0092,0.6707,0.0162
prefix,6,1.0084,0.0675,0.7408,0.0105,0.1896,0.0115,0.7089,0.0204
prefix,7,1.3667,0.05,1.0695,0.0154,0.2318,0.0094,1.0347,0.0254
prefix,8,1.4948,0.0943,1.2441,0.0114,0.145,0.0153,1.2045,0.0243
prefix,9,1.309,0.0647,1.0594,0.016,0.1689,0.0119,1.0231,0.0244
prefix,10,1.1395,0.0679,0.8968,0.0109,0.1639,0.0128,0.8653,0.0187
prefix,11,1.6959,0.0777,1.4342,0.0118,0.1722,0.0133,1.3954,0.0255
prefix,12,4.4279,0.1191,1.8661,2.1386,0.3041,0.012,1.8263,0.0278
prefix,13,1.2901,0.0649,0.9836,0.0112,0.2304,0.0122,0.9498,0.0216
prefix,14,0.7757,0.0456,0.6039,0.0082,0.118,0.0096,0.5811,0.0132
prefix,15,0.9344,0.0513,0.7329,0.009,0.1412,0.0102,0.7059,0.0168
prefix,16,1.2919,0.0598,1.0393,0.0133,0.1795,0.0124,0.9917,0.0352
prefix,17,0.8967,0.0459,0.7122,0.0087,0.1299,0.0088,0.6877,0.0157
prefix,18,1.393,0.0633,1.1102,0.0151,0.2044,0.0131,1.072,0.0251
prefix,19,1.3504,0.0486,1.1524,0.0104,0.139,0.0095,1.1215,0.0214
prefix,20,1.593,0.0594,1.2526,0.0137,0.2673,0.0111,1.2164,0.0251
prefix,21,3.3014,0.4918,2.4438,0.0155,0.3503,0.0147,2.4002,0.0289
prefix,22,2.4826,0.0702,2.2492,0.0121,0.1511,0.0134,2.2137,0.0221
prefix,23,1.3359,0.0546,1.0253,0.022,0.234,0.0104,0.9917,0.0232
prefix,24,1.4929,0.0657,1.2291,0.0119,0.1862,0.0113,1.1963,0.0215
prefix,25,1.0207,0.0543,0.7978,0.0106,0.158,0.0103,0.7704,0.0171
prefix,26,1.0726,0.0606,0.8301,0.0104,0.1715,0.0123,0.8002,0.0176
prefix,27,1.7092,0.0679,1.3508,0.0156,0.2749,0.013,1.3056,0.0322
prefix,28,0.8325,0.0456,0.6531,0.0079,0.1259,0.0091,0.6293,0.0147
prefix,29,1.7785,0.0645,1.4165,0.0142,0.2833,0.0132,1.3782,0.0251
prefix,30,1.1836,0.0775,0.9528,0.0093,0.144,0.0134,0.9162,0.0232
prefix,31,0.8857,0.0521,0.687,0.009,0.1376,0.0098,0.6609,0.0163
prefix,32,0.9479,0.0508,0.7459,0.0098,0.1414,0.0104,0.7187,0.0168
prefix,33,1.0777,0.0613,0.8248,0.0103,0.1813,0.0128,0.7947,0.0173
prefix,34,2.2825,0.0724,1.9118,0.0141,0.2842,0.0129,1.8751,0.0238
