run,sample,total_ms,prelude_ms,pool_ms,validation_ms,move_ms,build_return_ms,assert_hwnd_ms,recycle_prelude_ms,hide_ms,recycle_return_ms,assert_recycled_ms
1,55,0.4998,0.0343,0.0239,0.0068,0.3463,0.0359,0.0061,0.0057,0.011,0.0164,0.0134
1,56,0.4109,0.0284,0.0209,0.0065,0.2835,0.0273,0.0055,0.0055,0.0093,0.0135,0.0105
1,57,0.378,0.0233,0.0174,0.0052,0.2613,0.0261,0.0056,0.0054,0.0094,0.0137,0.0106
1,58,0.4016,0.0233,0.0173,0.0053,0.286,0.0268,0.0056,0.0054,0.0093,0.0125,0.0101
1,59,0.3793,0.0232,0.0163,0.0053,0.2608,0.0287,0.0059,0.0051,0.0099,0.0132,0.0109
1,60,0.4003,0.0232,0.0181,0.0056,0.2774,0.0301,0.0058,0.0056,0.0095,0.0138,0.0112
1,61,0.4101,0.0247,0.0181,0.0062,0.2864,0.0298,0.0056,0.0053,0.0096,0.0137,0.0107
1,62,0.38,0.023,0.0173,0.0057,0.2642,0.0265,0.0055,0.0056,0.0092,0.0125,0.0105
1,63,0.3998,0.0224,0.0164,0.0051,0.2841,0.028,0.0056,0.0053,0.0097,0.0132,0.01
1,64,0.4014,0.0232,0.0173,0.0054,0.28,0.0305,0.0058,0.0053,0.0098,0.0132,0.0109
1,65,0.3903,0.0232,0.0184,0.0062,0.2741,0.0257,0.0053,0.0055,0.0096,0.0122,0.0101
1,66,0.3621,0.0211,0.016,0.0054,0.2537,0.0246,0.0053,0.0051,0.009,0.0124,0.0095
1,67,0.3583,0.0213,0.0155,0.0052,0.2505,0.0244,0.0052,0.0054,0.0087,0.0127,0.0094
1,68,0.6654,0.0212,0.0163,0.0056,0.3823,0.0583,0.0069,0.0062,0.1329,0.0211,0.0146
1,69,0.7126,0.0313,0.0241,0.0076,0.4485,0.0445,0.0142,0.0969,0.013,0.0182,0.0143
1,70,0.4373,0.0278,0.0196,0.0053,0.3014,0.0366,0.0061,0.0049,0.0104,0.014,0.0112
1,71,0.372,0.0229,0.0172,0.005,0.2531,0.0325,0.006,0.0047,0.0089,0.0119,0.0098
1,72,0.3551,0.0204,0.0148,0.0046,0.2415,0.0331,0.0057,0.0044,0.0093,0.0116,0.0097
1,73,0.3354,0.0213,0.0149,0.0046,0.2268,0.0294,0.0059,0.0045,0.0084,0.011,0.0086
1,74,0.5962,0.0177,0.0136,0.0044,0.4574,0.0498,0.0087,0.0071,0.0119,0.014,0.0116
1,75,0.4794,0.0249,0.018,0.0051,0.3338,0.0363,0.0128,0.01,0.0124,0.0161,0.01
1,76,0.388,0.0227,0.0152,0.0049,0.2657,0.0296,0.0067,0.0058,0.0116,0.0143,0.0115
1,77,0.436,0.0259,0.0195,0.0061,0.3035,0.0317,0.0062,0.0059,0.0112,0.015,0.011
1,78,0.4411,0.0253,0.0197,0.0073,0.3017,0.0347,0.0065,0.0067,0.0113,0.0142,0.0137
